0 	 1 
0 	 16 
1 	 0 
1 	 2 
1 	 17 
2 	 1 
2 	 3 
2 	 18 
3 	 2 
3 	 4 
3 	 19 
4 	 3 
4 	 5 
4 	 20 
5 	 4 
5 	 6 
5 	 21 
6 	 5 
6 	 7 
6 	 22 
7 	 6 
7 	 8 
7 	 23 
8 	 7 
8 	 9 
8 	 24 
9 	 8 
9 	 10 
9 	 25 
10 	 9 
10 	 11 
10 	 26 
11 	 10 
11 	 12 
11 	 27 
12 	 11 
12 	 13 
12 	 28 
13 	 12 
13 	 14 
13 	 29 
14 	 13 
14 	 15 
14 	 30 
15 	 14 
15 	 31 
16 	 17 
16 	 0 
16 	 32 
17 	 16 
17 	 18 
17 	 1 
17 	 33 
18 	 17 
18 	 19 
18 	 2 
18 	 34 
19 	 18 
19 	 20 
19 	 3 
19 	 35 
20 	 19 
20 	 21 
20 	 4 
20 	 36 
21 	 20 
21 	 22 
21 	 5 
21 	 37 
22 	 21 
22 	 23 
22 	 6 
22 	 38 
23 	 22 
23 	 24 
23 	 7 
23 	 39 
24 	 23 
24 	 25 
24 	 8 
24 	 40 
25 	 24 
25 	 26 
25 	 9 
25 	 41 
26 	 25 
26 	 27 
26 	 10 
26 	 42 
27 	 26 
27 	 28 
27 	 11 
27 	 43 
28 	 27 
28 	 29 
28 	 12 
28 	 44 
29 	 28 
29 	 30 
29 	 13 
29 	 45 
30 	 29 
30 	 31 
30 	 14 
30 	 46 
31 	 30 
31 	 15 
31 	 47 
32 	 33 
32 	 16 
32 	 48 
33 	 32 
33 	 34 
33 	 17 
33 	 49 
34 	 33 
34 	 35 
34 	 18 
34 	 50 
35 	 34 
35 	 36 
35 	 19 
35 	 51 
36 	 35 
36 	 37 
36 	 20 
36 	 52 
37 	 36 
37 	 38 
37 	 21 
37 	 53 
38 	 37 
38 	 39 
38 	 22 
38 	 54 
39 	 38 
39 	 40 
39 	 23 
39 	 55 
40 	 39 
40 	 41 
40 	 24 
40 	 56 
41 	 40 
41 	 42 
41 	 25 
41 	 57 
42 	 41 
42 	 43 
42 	 26 
42 	 58 
43 	 42 
43 	 44 
43 	 27 
43 	 59 
44 	 43 
44 	 45 
44 	 28 
44 	 60 
45 	 44 
45 	 46 
45 	 29 
45 	 61 
46 	 45 
46 	 47 
46 	 30 
46 	 62 
47 	 46 
47 	 31 
47 	 63 
48 	 49 
48 	 32 
48 	 64 
49 	 48 
49 	 50 
49 	 33 
49 	 65 
50 	 49 
50 	 51 
50 	 34 
50 	 66 
51 	 50 
51 	 52 
51 	 35 
51 	 67 
52 	 51 
52 	 53 
52 	 36 
52 	 68 
53 	 52 
53 	 54 
53 	 37 
53 	 69 
54 	 53 
54 	 55 
54 	 38 
54 	 70 
55 	 54 
55 	 56 
55 	 39 
55 	 71 
56 	 55 
56 	 57 
56 	 40 
56 	 72 
57 	 56 
57 	 58 
57 	 41 
57 	 73 
58 	 57 
58 	 59 
58 	 42 
58 	 74 
59 	 58 
59 	 60 
59 	 43 
59 	 75 
60 	 59 
60 	 61 
60 	 44 
60 	 76 
61 	 60 
61 	 62 
61 	 45 
61 	 77 
62 	 61 
62 	 63 
62 	 46 
62 	 78 
63 	 62 
63 	 47 
63 	 79 
64 	 65 
64 	 48 
64 	 80 
65 	 64 
65 	 66 
65 	 49 
65 	 81 
66 	 65 
66 	 67 
66 	 50 
66 	 82 
